NLoad	Load	Time	
0.000000	1014.781494	12.075000
0.000000	1057.845459	12.099000
0.000000	1007.835693	12.122000
0.000000	1026.589355	12.146000
0.000000	1021.727295	12.169000
0.000000	1009.919434	12.192000
0.000000	1031.451416	12.215000
0.000000	1019.643555	12.238000
0.000000	1023.116455	12.261000
0.000000	1030.756836	12.283000
0.000000	1018.254395	12.307000
0.000000	1023.811035	12.330000
0.000000	1014.086914	12.354000
0.000000	1012.003174	12.377000
0.000000	1029.367676	12.401000
0.000000	1019.643555	12.424000
0.000000	1034.924316	12.447000
0.000000	1007.835693	12.470000
0.000000	1020.338135	12.492000
0.000000	1033.535156	12.516000
0.000000	1014.086914	12.539000
0.000000	1037.702637	12.563000
0.000000	1024.505615	12.586000
0.000000	1004.362793	12.609000
0.000000	1025.894775	12.632000
0.000000	1025.200195	12.655000
0.000000	1017.559814	12.678000
0.000000	1021.032715	12.700000
0.000000	1012.697754	12.724000
0.000000	1013.392334	12.747000
0.000000	1025.894775	12.771000
0.000000	1018.254395	12.794000
0.000000	1010.614014	12.817000
0.000000	1017.559814	12.840000
0.000000	1028.673096	12.863000
0.000000	1016.865234	12.886000
0.000000	1002.973633	12.908000
0.000000	1049.510498	12.932000
0.000000	1030.756836	12.955000
0.000000	1026.589355	12.979000
0.000000	1030.756836	13.002000
0.000000	1024.505615	13.026000
0.000000	1044.648437	13.049000
0.000000	1016.170654	13.072000
0.000000	1023.116455	13.095000
0.000000	1034.924316	13.117000
0.000000	1017.559814	13.141000
0.000000	1028.673096	13.164000
0.000000	1024.505615	13.188000
0.000000	1023.116455	13.211000
0.000000	1037.008057	13.234000
0.000000	1034.229736	13.257000
0.000000	1029.367676	13.280000
0.000000	1025.200195	13.303000
0.000000	1015.476074	13.325000
0.000000	1032.840576	13.349000
0.000000	1018.948975	13.372000
0.000000	1032.840576	13.396000
0.000000	1014.781494	13.419000
0.000000	1021.727295	13.442000
0.000000	1046.732178	13.465000
0.000000	1039.091797	13.488000
0.000000	1015.476074	13.511000
0.000000	1045.343018	13.533000
0.000000	1025.200195	13.557000
0.000000	1024.505615	13.580000
0.000000	1023.116455	13.604000
0.000000	1009.919434	13.627000
0.000000	1032.840576	13.651000
0.000000	1021.727295	13.674000
0.000000	1032.145996	13.697000
0.000000	1027.283936	13.720000
0.000000	1030.756836	13.742000
0.000000	1020.338135	13.766000
0.000000	1025.200195	13.789000
0.000000	1030.062256	13.813000
0.000000	1001.584473	13.836000
0.000000	1027.283936	13.859000
0.000000	1038.397217	13.882000
0.000000	1007.835693	13.905000
0.000000	1024.505615	13.928000
0.000000	1035.618896	13.950000
0.000000	1022.421875	13.974000
0.000000	1029.367676	13.997000
0.000000	1030.062256	14.021000
0.000000	1014.086914	14.044000
0.000000	1037.702637	14.067000
0.000000	1003.668213	14.090000
0.000000	1028.673096	14.113000
0.000000	1022.421875	14.136000
0.000000	1025.200195	14.158000
0.000000	1053.677979	14.182000
0.000000	1018.254395	14.205000
0.000000	1025.894775	14.229000
0.000000	1031.451416	14.252000
0.000000	1013.392334	14.276000
0.000000	1041.870117	14.299000
0.000000	1021.727295	14.322000
0.000000	1030.062256	14.345000
0.000000	1034.924316	14.367000
0.000000	1012.697754	14.391000
0.000000	1064.096680	14.414000
0.000000	1016.865234	14.438000
0.000000	1031.451416	14.461000
0.000000	1021.727295	14.484000
0.000000	1024.505615	14.507000
0.000000	1041.870117	14.530000
0.000000	1017.559814	14.553000
0.000000	1025.894775	14.575000
0.000000	1027.283936	14.599000
0.000000	1017.559814	14.622000
0.000000	1023.811035	14.646000
