Load	Ext	Time
26.855469	-1.394719	57.801998
32.958984	-1.393624	58.005001
33.569336	-1.394080	58.205002
45.776367	-1.394171	58.403999
43.945312	-1.394536	58.603001
54.931641	-1.393533	58.805000
63.476562	-1.393076	59.004002
69.580078	-1.393168	59.205002
78.125000	-1.393168	59.405998
84.228516	-1.392894	59.603001
87.890625	-1.392438	59.805000
98.266602	-1.391616	60.005001
107.421875	-1.391981	60.207001
114.135742	-1.390795	60.405998
122.070312	-1.392255	60.603001
128.784180	-1.391252	60.805000
136.108398	-1.391252	61.002998
145.263672	-1.389609	61.207001
148.925781	-1.389883	61.405998
153.808594	-1.391252	61.608002
153.808594	-1.390248	61.803001
175.170898	-1.390704	62.002998
187.377930	-1.389883	62.203999
199.584961	-1.388149	62.404999
205.078125	-1.388149	62.603001
214.843750	-1.389244	62.810001
222.778320	-1.389153	63.005001
230.712891	-1.388788	63.206001
242.309570	-1.388240	63.404999
247.802734	-1.388332	63.605000
255.126953	-1.388240	63.806000
268.554687	-1.388788	64.007004
269.775391	-1.387967	64.206001
276.489258	-1.387328	64.405998
293.579102	-1.387510	64.608002
302.734375	-1.387510	64.803001
315.551758	-1.386780	65.004997
325.317383	-1.386507	65.207001
324.096680	-1.387237	65.404999
335.693359	-1.386872	65.606003
348.510742	-1.386963	65.807999
358.276367	-1.387054	66.004997
367.431641	-1.386142	66.204002
378.417969	-1.385320	66.405998
388.183594	-1.385138	66.601997
397.949219	-1.385138	66.807999
405.273437	-1.385138	67.003998
413.818359	-1.384043	67.206001
423.583984	-1.385138	67.405998
430.297852	-1.384499	67.605003
438.232422	-1.384955	67.805000
438.842773	-1.382401	68.008003
463.256836	-1.384408	68.206001
473.022461	-1.383678	68.405998
473.632812	-1.383222	68.608002
486.450195	-1.383769	68.804001
499.267578	-1.383860	69.002998
512.084961	-1.382583	69.205002
510.253906	-1.383313	69.404999
521.240234	-1.383313	69.605003
533.447266	-1.382583	69.807999
543.212891	-1.382218	70.005997
559.692383	-1.381214	70.204002
570.678711	-1.382127	70.404999
574.951172	-1.381762	70.601997
587.768555	-1.381032	70.806000
591.430664	-1.381306	71.005997
605.468750	-1.381306	71.205002
613.403320	-1.381306	71.408997
614.624023	-1.380484	71.609001
625.610352	-1.378568	71.809998
643.920898	-1.379663	72.004997
656.738281	-1.382309	72.205002
662.841797	-1.379572	72.406998
674.438477	-1.380849	72.605003
682.373047	-1.378021	72.804001
698.852539	-1.379937	73.004997
704.956055	-1.378386	73.205002
708.618164	-1.378842	73.404999
714.111328	-1.378568	73.608002
734.252930	-1.378386	73.804001
750.122070	-1.378842	74.002998
749.511719	-1.378203	74.207001
758.666992	-1.377747	74.406998
770.874023	-1.377199	74.609001
773.315430	-1.376743	74.804001
791.625977	-1.377199	75.005997
805.664062	-1.377017	75.208000
809.326172	-1.377291	75.405998
816.040039	-1.376561	75.609001
824.584961	-1.376287	75.804001
842.895508	-1.376196	76.005997
854.492187	-1.376013	76.208000
862.426758	-1.376469	76.405998
879.516602	-1.375374	76.608002
867.309570	-1.375009	76.808998
892.944336	-1.374827	77.005997
904.541016	-1.375466	77.204002
903.930664	-1.374279	77.405998
920.410156	-1.374553	77.609001
929.565430	-1.374645	77.803001
944.824219	-1.374553	78.003998
944.213867	-1.373549	78.205002
960.083008	-1.373185	78.408997
974.731445	-1.373093	78.610001
986.328125	-1.373276	78.806000
999.145508	-1.372637	79.009003
1007.080078	-1.372728	79.205002
1016.845703	-1.373002	79.405998
1029.052734	-1.371998	79.606003
1043.090820	-1.372546	79.805000
1051.635742	-1.371816	80.004997
1062.011719	-1.370538	80.207001
1060.791016	-1.372546	80.403999
1085.815430	-1.371451	80.607002
1088.256836	-1.371633	80.805000
1104.125977	-1.370995	81.005997
1114.501953	-1.371086	81.208000
1116.333008	-1.370630	81.406998
1121.826172	-1.371268	81.607002
1132.812500	-1.370173	81.806000
1149.902344	-1.370265	82.003998
1159.667969	-1.370082	82.207001
1177.978516	-1.370082	82.405998
1185.302734	-1.370082	82.602997
1196.289062	-1.369443	82.805000
1209.716797	-1.369170	83.008003
1220.703125	-1.369078	83.206001
1228.637695	-1.369078	83.406998
1239.624023	-1.368166	83.606003
1250.000000	-1.367892	83.806999
1260.375977	-1.368166	84.009003
1272.583008	-1.368805	84.206001
1289.672852	-1.367527	84.406998
1294.555664	-1.367801	84.606003
1301.269531	-1.367618	84.805000
1317.138672	-1.367253	85.007004
1325.683594	-1.367253	85.206001
1328.735352	-1.366158	85.406998
1336.059570	-1.367162	85.606003
1347.656250	-1.367253	85.808998
1365.966797	-1.365793	86.007004
1375.122070	-1.365702	86.209000
1395.263672	-1.365611	86.406998
1401.367187	-1.365976	86.606003
1412.353516	-1.364881	86.805000
1421.508789	-1.365337	87.007004
1428.222656	-1.365520	87.207001
1436.767578	-1.364425	87.405998
1441.650391	-1.364607	87.609001
1449.584961	-1.364242	87.808998
1457.519531	-1.364242	88.009003
1475.830078	-1.363695	88.205002
1478.881836	-1.364790	88.405998
1491.088867	-1.363968	88.611000
1498.413086	-1.364151	88.806000
1504.516602	-1.363147	89.002998
1510.009766	-1.362417	89.205002
1516.113281	-1.362691	89.407997
1519.165039	-1.362874	89.608002
1523.437500	-1.362691	89.806000
1531.372070	-1.362144	90.007004
1525.878906	-1.362965	90.206001
1553.955078	-1.361870	90.410004
1539.916992	-1.361505	90.607002
1558.227539	-1.361870	90.806000
1561.279297	-1.361140	91.004997
1575.317383	-1.361231	91.207001
1574.707031	-1.360684	91.407997
1577.758789	-1.360866	91.609001
1583.862305	-1.360045	91.809998
1593.017578	-1.360501	92.009003
1594.848633	-1.359680	92.209000
1611.938477	-1.359862	92.408997
1611.328125	-1.359862	92.611000
1601.562500	-1.359497	92.806999
1611.938477	-1.359862	93.010002
1621.093750	-1.358494	93.209999
1621.093750	-1.359771	93.407997
1625.366211	-1.359680	93.606003
1633.300781	-1.358859	93.807999
1636.962891	-1.357216	94.008003
1647.949219	-1.358220	94.208000
1647.949219	-1.357307	94.407997
1657.714844	-1.357672	94.607002
1661.987305	-1.357581	94.809998
1671.752930	-1.357490	95.007004
1660.766602	-1.359315	95.207001
1663.818359	-1.357034	95.407997
1663.818359	-1.356942	95.607002
1682.739258	-1.356577	95.807999
1683.959961	-1.356030	96.008003
1694.946289	-1.355939	96.209999
1689.453125	-1.356212	96.405998
1694.946289	-1.355939	96.609001
1701.049805	-1.355209	96.809998
1702.880859	-1.355117	97.010002
1706.542969	-1.354753	97.207001
1702.880859	-1.355026	97.405998
1707.763672	-1.354661	97.609001
1704.101562	-1.354205	97.806000
1721.801758	-1.355026	98.010002
1726.074219	-1.353293	98.207001
1727.294922	-1.353201	98.411003
1734.619141	-1.353201	98.607002
1739.501953	-1.353475	98.811996
1743.774414	-1.352745	99.010002
1748.657227	-1.352745	99.209000
1747.436523	-1.352836	99.410004
1749.877930	-1.353201	99.610001
1747.436523	-1.352836	99.807999
1762.695312	-1.352380	100.005997
1756.591797	-1.351650	100.208000
1759.643555	-1.350373	100.406998
1766.357422	-1.351194	100.608002
1771.240234	-1.350281	100.804001
1779.785156	-1.351924	101.008003
1771.850586	-1.350829	101.209999
1774.902344	-1.351468	101.410004
1762.084961	-1.351741	101.612000
1782.836914	-1.350646	101.805000
1790.771484	-1.350008	102.008003
1787.109375	-1.349916	102.209999
1779.785156	-1.349734	102.406998
1779.174805	-1.349734	102.611000
1787.109375	-1.349643	102.807999
1788.940430	-1.347818	103.005997
1791.381836	-1.348365	103.209999
1787.109375	-1.350190	103.411003
1784.057617	-1.348456	103.607002
1792.602539	-1.347453	103.807999
1796.875000	-1.348183	104.010002
1802.368164	-1.347726	104.207001
1800.537109	-1.347270	104.406998
1799.316406	-1.347361	104.608002
1798.706055	-1.346723	104.808998
1800.537109	-1.349186	105.009003
1797.485352	-1.346723	105.208000
1791.992187	-1.347088	105.408997
1796.875000	-1.347453	105.612000
1806.030273	-1.345993	105.810997
1812.744141	-1.345719	106.007004
1799.926758	-1.346267	106.207001
1799.926758	-1.345810	106.406998
1804.809570	-1.345354	106.608002
1807.250977	-1.344989	106.808998
1801.147461	-1.345263	107.009003
1801.757812	-1.344624	107.206001
1804.199219	-1.346632	107.406998
1795.043945	-1.344259	107.608002
1796.264648	-1.344259	107.811996
1791.381836	-1.342708	108.007004
1778.564453	-1.343894	108.209999
1779.785156	-1.344077	108.406998
1781.616211	-1.344533	108.610001
1773.071289	-1.343073	108.808998
1776.733398	-1.343620	109.007004
1772.460937	-1.342708	109.210999
1757.202148	-1.342434	109.410004
1762.084961	-1.343347	109.610001
1768.188477	-1.343073	109.808998
1762.695312	-1.342708	110.005997
1754.760742	-1.341704	110.207001
1749.877930	-1.341887	110.412003
1752.929687	-1.341613	110.609001
1754.150391	-1.342799	110.806999
1751.708984	-1.340609	111.005997
