Time	Load
39.996	-3.052
40.039	2.441
40.044	3.052
40.052	-0.610
40.080	1.831
40.110	10.376
40.115	3.052
40.123	9.766
40.156	5.493
40.191	3.662
40.197	1.831
40.205	0.610
40.234	5.493
40.268	2.441
40.272	1.831
40.276	1.831
40.304	1.221
40.339	-1.221
40.381	9.155
40.419	-2.441
40.425	-0.610
40.474	-0.610
40.506	3.662
40.510	3.052
40.531	1.221
40.565	1.831
40.597	2.441
40.602	1.831
40.628	-5.493
40.673	4.272
40.706	3.052
40.730	0.000
40.733	-7.935
40.738	0.000
40.746	3.662
40.802	2.441
40.839	-0.610
40.845	1.831
40.870	3.052
40.904	3.662
40.944	1.831
40.978	0.000
40.982	9.155
40.991	0.610
41.023	1.221
41.027	3.052
41.033	4.272
41.065	3.052
41.089	1.221
41.114	3.052
41.119	6.104
41.123	7.935
41.150	2.441
